TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,centroid,LON,LAT,baseline,ssp119_2021-2040,ssp119_2041-2060,ssp119_2061-2080,ssp119_2081-2100,ssp126_2021-2040,ssp126_2041-2060,ssp126_2061-2080,ssp126_2081-2100,ssp245_2021-2040,ssp245_2041-2060,ssp245_2061-2080,ssp245_2081-2100,ssp370_2021-2040,ssp370_2041-2060,ssp370_2061-2080,ssp370_2081-2100,ssp434_2021-2040,ssp434_2041-2060,ssp434_2061-2080,ssp434_2081-2100,ssp460_2021-2040,ssp460_2041-2060,ssp460_2061-2080,ssp460_2081-2100,ssp585_2021-2040,ssp585_2041-2060,ssp585_2061-2080,ssp585_2081-2100
V02,10014020,臺東縣,成功鎮,Chenggong Township,V,10014,POINT (121.3540954335233 23.126392998365112),121.3540954335233,23.126392998365112,370.8372411962599,527.0946441624224,567.7368158750473,557.5357158933022,512.9284897573666,518.6429426877426,600.5153408513355,631.8716233059462,617.868788662027,526.3292622649942,656.2376001389555,773.5573197983642,865.0524428776097,513.4664985007237,695.1769746786367,893.3860136598228,1148.594486359321,519.2349329434031,633.7388550300836,711.8143264656019,744.6402786242736,524.4974619252777,667.0189407822202,830.7929803165348,983.5058581867668,553.15208690708,763.8740882986389,1044.3873929936371,1419.8579731327188
T21,10013210,屏東縣,佳冬鄉,Jiadong Township,T,10013,POINT (120.54691397237931 22.429086923246164),120.54691397237931,22.429086923246164,1020.4321792021494,1222.3126210507041,1302.012821652296,1273.022807247884,1223.0737116517093,1213.2394324748097,1331.657942127003,1368.154479819873,1354.9952102881077,1234.8287856077718,1399.629873954038,1542.014155155327,1659.82540734728,1213.7337624079137,1447.0424944008694,1686.1231697049511,1982.1740248524504,1216.5155282750934,1368.7133765075062,1468.1938836160052,1508.5482133716987,1231.58567802269,1415.1091298953904,1612.9824445982376,1791.8862592047922,1264.3065586601642,1536.7107539734834,1883.448448136322,2310.3331923563323
P13,10009130,雲林縣,麥寮鄉,Mailiao Township,P,10009,POINT (120.23799074379608 23.79139743290136),120.23799074379608,23.79139743290136,833.8291667174741,1043.9057189953662,1096.012828675866,1082.38344805149,1035.7302851443346,1018.0239377025504,1139.973601211023,1179.0587845803261,1165.5359206605108,1047.511651451446,1197.1043385306791,1336.767135287902,1432.1583713918953,1027.6493456750575,1244.2106020625451,1452.1940294332755,1742.7233859852095,1035.0188035309748,1171.4902421107056,1259.8572602236377,1297.5758957881783,1039.354607916244,1212.5582335649417,1403.5557286681355,1563.6196235247933,1064.8559156121935,1327.3812414372735,1656.3160493975658,2037.378975530974
V11,10014110,臺東縣,綠島鄉,Ludao Township,V,10014,POINT (121.49035908953785 22.659732191217785),121.49035908953783,22.659732191217785,816.5051890885373,1012.556348038855,1067.9170729187022,1060.4012356853284,1008.9927512706894,1013.4678470181075,1091.0726906027048,1143.921051216283,1126.811386456433,1013.2012424960226,1168.6350768608036,1278.889706252228,1377.7927670671684,1002.0521555400703,1204.0106765209666,1413.9417251716472,1680.2627061669075,999.7628645719348,1132.765531756398,1228.088000748036,1254.0131927025373,1009.9781771261604,1175.7109473324028,1356.280029436403,1502.561418200845,1039.6826992508707,1275.1021217926545,1587.9721912411214,1959.9963080587486
V16,10014160,臺東縣,蘭嶼鄉,Lanyu Township,V,10014,POINT (121.55194596589114 22.044655806548885),121.55194596589114,22.044655806548885,637.0888208189835,824.0026992372893,866.7780516359322,856.4042147555958,813.4965934513205,803.159350137849,896.5126393581103,933.4294738188078,917.5852142827329,822.9852697808524,950.1208709923067,1061.2858337992932,1154.0588388859023,806.0226174301029,989.6369374037032,1175.5448474022933,1420.721905348825,811.1374872484934,923.5830954655972,1007.9431644828671,1037.2004970157568,813.6970508249871,967.0513626028365,1121.4796770845676,1262.5760083695925,838.2021991641693,1067.7528127025678,1322.783670673285,1672.8117252557465
N07,10007120,彰化縣,田中鎮,Tianzhong Township,N,10007,POINT (120.5903528570315 23.8573419172744),120.5903528570315,23.8573419172744,692.4509688678567,895.1229870174226,955.019958753167,938.0340277290584,890.4723981832976,875.6097058863311,999.9375949964933,1026.6812980479071,1009.0364973943721,896.6796666529883,1051.8361637643748,1174.5551874836328,1271.3021955146412,874.000504589241,1090.7445620026579,1301.9666014055128,1574.160427335289,881.2054982103249,1019.9046562639935,1105.2611210583848,1142.796570534198,893.5513016377615,1053.690614666009,1236.156147559711,1405.1392614361391,920.352926282465,1166.8526826784378,1479.8469014784991,1862.4949737926986
N19,10007170,彰化縣,社頭鄉,Shetou Township,N,10007,POINT (120.60220315356 23.905458893569325),120.60220315356,23.905458893569325,719.5803525232602,918.484656336137,972.6086905226425,964.3839618381816,908.8093910432349,893.219721750313,1011.1577088213485,1042.9791165752954,1027.4587017621186,915.3073020133048,1068.454538467849,1195.396623310945,1287.3457871707265,896.922086677894,1105.6342377211415,1311.8923378329184,1583.6938532281822,897.2288808803473,1030.85292679082,1124.112850965608,1158.4646169731302,910.1426046994554,1078.0417642784605,1255.964106995264,1413.7439272860543,936.4543473495064,1182.84977223354,1496.767932148716,1875.0665562228712
T14,10013140,屏東縣,竹田鄉,Zhutian Township,T,10013,POINT (120.52787230654916 22.589685090436753),120.52787230654916,22.589685090436756,982.9077156691658,1201.0004196276366,1275.6709468674499,1242.12173222773,1196.3414709724789,1185.982112842818,1316.5497851309206,1338.7675616150555,1336.7223787728894,1212.8626050521575,1378.9715792178167,1523.7574948778588,1636.0523351339637,1181.9783688005668,1424.9470324089402,1670.6305853781007,1960.9425397633122,1196.7549162257046,1341.7505230758572,1443.944066117797,1487.3675674231006,1204.484907661812,1389.2652849963138,1591.7041407820627,1767.7927524280738,1242.788135701094,1520.0088010586742,1861.401696438334,2276.0900174359754
T05,10013050,屏東縣,萬丹鄉,Wandan Township,T,10013,POINT (120.47696294867293 22.58819323631),120.47696294867292,22.58819323631,1001.6292907446856,1217.4222111676945,1288.2080686337931,1255.8486971754542,1212.3613156484382,1195.9982991407321,1325.6541524226168,1358.590455029784,1345.1543664409003,1229.571534013207,1387.4236031969594,1527.2593150065159,1636.110071013031,1196.3846009842132,1433.4126174735413,1668.7977444805292,1955.187209927603,1200.9080076649254,1348.971457348595,1457.5433227918165,1490.8668032646667,1218.485092839288,1398.8562214305311,1596.033992985087,1764.4712518882661,1250.8000181641505,1524.2900547345473,1854.5759267171911,2266.352488786
K13,10005160,苗栗縣,三灣鄉,Sanwan Township,K,10005,POINT (120.95256435988551 24.636092663771013),120.95256435988551,24.636092663771013,601.8448244742956,766.2995260860866,806.7249501927787,799.3168088629976,753.7300417147811,742.0966834982688,841.6146318428202,876.1632346411665,858.1135182359119,754.4100907623479,885.3248051579433,1002.3126552901318,1087.4838029766797,747.2338462454247,933.5241053527714,1111.1579802358367,1360.1311204810552,754.4658921318394,865.4590531446656,950.0590690380628,970.8710575435425,762.2400618280491,892.2661372630988,1058.1337094694898,1204.0549636200074,789.5295133028169,989.7289469776883,1269.954618263655,1604.1012150122835
J13,10004110,新竹縣,峨眉鄉,Emei Township,J,10004,POINT (121.01107757147975 24.67821166262212),121.01107757147976,24.67821166262212,515.8618489317097,668.6464402181164,706.5574281088361,694.7255758941545,655.0250786086428,651.8679478526783,740.6057502428012,767.5756217443646,753.478618612509,651.1580219192136,780.2869737033295,891.4909222286432,968.9472168428174,655.3843333530696,818.1721545294981,987.7452963015526,1214.699698128519,658.632183948325,760.8313407177905,830.8541730390616,861.6167550618942,662.3165203777733,787.2719728180583,943.6289241089622,1068.2009636929658,693.5828612190038,879.7247428817498,1133.2456940896714,1454.3776531150434
K14,10005110,苗栗縣,南庄鄉,Nanzhuang Township,K,10005,POINT (121.01748513560352 24.566203978236615),121.01748513560352,24.56620397823661,94.98354380435804,165.63329895919804,185.0072506092574,180.23374429388554,160.11225318333797,156.0151973854635,198.55256368488006,215.51638051951505,209.42254453245192,159.75795870493005,225.5591543191672,289.4423132030058,338.4770464092273,158.95887176220447,244.6462487899371,347.5426944463109,508.31878306508975,160.84277579059113,216.12409033780787,253.94149022882564,270.1802920060207,163.22047355324318,229.4562559642153,319.22683515131683,404.54997211032776,174.12269395134598,276.7714462194666,444.6469933408567,681.2069441813544
Q12,10010010,嘉義縣,太保市,Taibao City,Q,10010,POINT (120.34393402141545 23.47300319388349),120.34393402141544,23.47300319388349,824.2204317783163,1035.9808394410552,1088.6237011169674,1065.184257437102,1019.5234150318199,1004.9325926970179,1134.6711791010953,1162.7706216458657,1152.7628176565822,1031.3350188910892,1188.9777601864835,1329.6485561178843,1432.9705654615045,1014.6679326388669,1237.3089758609449,1457.1888334062555,1747.679932881856,1024.07708745825,1157.8283535877604,1253.777359266457,1287.3248972112883,1032.959676063742,1200.3498981763132,1395.3820556156586,1569.404290832401,1058.1890110929896,1321.1679873135413,1655.9276439157627,2050.69267815176
Q14,10010130,嘉義縣,中埔鄉,Zhongpu Township,Q,10010,POINT (120.53652959680674 23.40418240861612),120.53652959680674,23.40418240861612,456.64001056126284,615.3313186625837,654.1789646518256,639.9984600679668,605.2870913062093,600.6530658202821,690.9712589616121,707.360711741352,703.225917217361,607.4566124465445,731.9388114703638,840.3702690131652,920.3370902645668,597.776425850953,769.9749466201749,944.3047869253378,1169.0113304285458,598.3125534474714,705.915227869116,782.2412311138556,807.9191016572468,613.1763617346073,742.5688200984472,893.2928013579731,1028.0506324753323,635.9822816110017,831.999235600486,1091.207389501506,1409.8386248455504
Q17,10010160,嘉義縣,番路鄉,Fanlu Township,Q,10010,POINT (120.60750682046833 23.427765035823487),120.60750682046832,23.427765035823487,133.65868468465217,230.67921477743263,255.3026894138544,244.44468122995235,224.09382364250368,218.87701484671112,278.3555648173459,293.5079726200172,287.79160279164597,225.5973187394763,309.9469563872638,391.2069426481142,451.56620068491543,220.86190324351978,335.4328595517163,466.8660892627822,648.3574572763542,221.33015865158782,294.9964692894061,348.8382973093579,367.19639950125935,225.75855594552982,317.48850126491686,431.091592700357,533.3632753324559,240.73309740751932,376.0064536660664,579.105953009713,837.7036085575271
Q13,10010120,嘉義縣,水上鄉,Shuishang Township,Q,10010,POINT (120.41472703905207 23.429201044513384),120.41472703905208,23.429201044513384,786.322529649617,977.4150579272443,1029.4404331114827,1014.795668078758,965.6004587285368,956.153326522188,1076.8046554729228,1102.487044877174,1090.9553878389252,981.637414676168,1127.3018980594713,1258.8750179323158,1351.354040380933,960.8388244837074,1168.6343649615226,1385.5414562827625,1650.4852767645002,961.7055759483408,1098.524923547459,1191.4303417087394,1221.8653271842893,978.5761778177309,1139.7171531258493,1318.216309741854,1485.8947849715776,1005.6435124505324,1252.850179506686,1562.1577715528588,1948.8725289976483
N05,10007100,彰化縣,員林市,Yuanlin City,N,10007,POINT (120.59309030424 23.956602150392385),120.59309030424,23.956602150392385,726.7631760373732,922.0547168384114,965.645224972365,958.351141092091,917.6442535441197,898.0698690291256,1012.131026900644,1043.5754780068078,1026.315621945852,919.5713919080624,1061.476851102263,1187.2127913940535,1283.7752287770516,899.382186668007,1106.6923981477703,1304.5322414204293,1565.6909209518806,909.1265333372901,1030.4941241718525,1117.86242588563,1152.5022305606221,917.5228567348578,1069.7909564119007,1255.7396661639632,1403.4687460139592,943.9752649981986,1182.6748397970675,1481.0736027702492,1841.6388101035002
E11,64000110,高雄市,小港區,Xiaogang District,E,64000,POINT (120.35257265819097 22.548214510958587),120.35257265819097,22.548214510958587,1035.1332637713117,1224.19011259951,1300.12027296544,1262.8982919702048,1221.7276237869573,1205.8578232720279,1329.856336820019,1358.0044791522107,1351.4160128133105,1241.795304379103,1379.7222228504645,1520.9373705625983,1629.4765855640883,1208.72698481217,1431.7365595504168,1663.80126929543,1955.1447316440504,1216.2979001399876,1360.7747605696604,1449.4395125175154,1488.586669335063,1234.9434688830218,1405.3681335064434,1594.2908773492784,1764.8746531740692,1261.1998779885355,1527.7062443569216,1847.0905572365841,2255.5738170435257
G09,10002030,宜蘭縣,蘇澳鎮,Su'ao Township,G,10002,POINT (121.83631310980583 24.556543234416655),121.83631310980584,24.55654323441665,394.17641438818896,517.3223061918869,549.2159509818999,544.4943454784362,509.29542414557926,498.8295555559218,580.0706093452442,604.454330962483,590.911267259615,508.9652059358324,608.5203643278101,705.4215940416256,777.3685205952198,498.4755921122335,644.9857398532286,791.7160618613784,1003.028312253085,512.0671676571513,600.6012117680417,654.8121546449315,684.0649287068208,515.7706215483555,619.0387735669863,754.0695229339196,873.7910070563535,538.1865817039143,697.279551601722,916.668188828446,1214.143861430654
G07,10002090,宜蘭縣,五結鄉,Wujie Township,G,10002,POINT (121.80608643931413 24.689129420223896),121.80608643931411,24.689129420223896,641.6808114227812,793.3568235601747,838.8906366930923,833.355911810011,781.3785362150456,779.5419367857141,870.5551008854874,894.7889157995769,883.7637001667348,787.597325723124,908.6194584415844,1006.2904011402129,1095.0275985399292,777.7657841447576,939.8661001802532,1112.5323358164276,1334.9746068737425,791.6789433502616,885.4531264138479,958.7257365146024,978.018609602482,787.3208116607889,912.3867188320576,1063.6758206726345,1196.1672876800503,820.0909287513314,1002.4056890624996,1258.602515532795,1572.7673984100597
G01,10002010,宜蘭縣,宜蘭市,Yilan City,G,10002,POINT (121.75692348870356 24.750315150340693),121.75692348870356,24.750315150340693,609.6213954616261,769.2398753420733,804.4899213419682,795.0384886784511,754.1376151889544,752.9778979178245,837.7136404335992,868.4430757816147,855.6539597464301,760.1534969047797,879.2983720146611,974.9068269726107,1051.9806903927915,746.4755046861753,905.7075315110293,1078.069921382536,1289.9552018364648,753.5955972867357,858.0472264276501,925.4885936582715,947.4490095611211,758.0788515454993,881.9858913773625,1029.2007927339678,1153.8671578817764,791.078697173416,974.4358908289721,1205.5173230216503,1523.783470937616
G04,10002060,宜蘭縣,壯圍鄉,Zhuangwei Township,G,10002,POINT (121.80176549629584 24.751889688309298),121.80176549629584,24.751889688309294,636.8284775221988,789.1472462931154,836.2395642966075,826.0652789863674,781.257777992906,776.9326455404629,861.740635145351,890.7562441242434,878.8400236812471,785.531173237952,899.2104953643434,999.0879627676427,1082.1440615970328,764.7651735014556,932.8548146798812,1100.1489772555785,1323.834715133631,779.000225296678,875.5525644292198,950.8605852388089,969.7301107670343,790.5707327815669,900.7749519688615,1049.8820322402737,1183.2836080720954,807.2004463893221,1000.5720380151897,1236.8222890479494,1555.5670057531725
Z01,9007010,連江縣,南竿鄉,Nangan Township,Z,9007,POINT (119.93508902992431 26.155445369915476),119.93508902992431,26.15544536991548,733.3848312462618,891.8260560724104,935.7548760585511,924.7968996442474,878.6831493600979,877.8282906488872,969.5958879369102,999.9167575291891,985.3909812502844,883.654111078522,1009.1440323757156,1124.7532356917259,1205.2580655728736,871.3550292907453,1047.751613350894,1221.6042658421302,1455.254461385615,882.1788115954652,986.9139555147003,1061.794120456597,1085.30406625578,891.2234152363509,1016.722949296938,1174.917584986971,1313.011908222338,922.7371497908572,1113.6092903406443,1379.8849222626932,1707.4862522137653
Z03,9007030,連江縣,莒光鄉,Juguang Township,Z,9007,POINT (119.95695135644631 25.9679415985547),119.95695135644633,25.9679415985547,733.3830983491653,891.8087131453317,935.745076853114,924.7855293211936,878.6671285243212,877.8270342118738,969.5842342244398,999.9020904729088,985.3823008846366,883.6545897978217,1009.140706126349,1124.7413842164426,1205.24951804503,871.3457036464638,1047.7441501199476,1221.5717674911814,1455.2468033074472,882.1804503543102,986.9017232853937,1061.7652824287143,1085.2847520095534,891.2238065425616,1016.7008070650912,1174.8991208790078,1312.9731263338845,922.7257561294932,1113.6119621948906,1379.8743192137167,1707.4712613770866
W04,9020040,金門縣,金寧鄉,Jinning Township,W,9020,POINT (118.32802099624293 24.457140133630077),118.32802099624293,24.45714013363008,846.9814055853601,1042.4194035059597,1103.1008223647304,1087.5757314685798,1039.0470034450886,1019.1615405307778,1148.2684385973835,1179.2630984280436,1163.921005421747,1047.9229868095206,1198.5398948797608,1332.4712261211573,1426.481465359303,1025.228781593447,1244.9697631325869,1449.5007982432558,1727.6946840762723,1030.8789122424328,1169.9012898366036,1260.3276574567615,1294.6065107188883,1048.8176381876983,1207.602860114965,1391.775997384197,1563.5646725521726,1073.868261813001,1325.1407706006353,1640.3385494881973,2017.2413317790138
W06,9020060,金門縣,烏坵鄉,Wuqiu Township,W,9020,POINT (119.45979849281993 24.988238527539703),119.45979849281991,24.988238527539703,788.696030773312,977.0928938381186,1018.7716838857032,1017.5435589152007,960.8634928139089,948.269565778743,1071.851364052858,1099.5176343246267,1079.2205056816379,966.2932390646888,1106.2249260263911,1237.2417683663616,1336.9043041702043,951.2901088891895,1152.7404963032318,1355.705717512248,1625.5229503214657,963.0933562439366,1087.627413228681,1172.9279732642854,1202.4986432588046,972.0948735888951,1118.0831695086558,1301.954582390334,1456.4086071440358,999.330123487425,1227.4172783751806,1534.894317671961,1889.7021321472487
G06,10002020,宜蘭縣,羅東鎮,Luodong Township,G,10002,POINT (121.77018347070694 24.678942258501166),121.77018347070694,24.678942258501166,630.2839340228073,783.5700385947418,824.1634044323413,818.9522815616652,771.1747833117823,765.3081102719693,856.1371492794465,880.4645605003287,873.141800979009,774.1888092977008,899.9394380485232,992.5500157138481,1083.9587233289994,765.9602877617747,930.6327202507546,1099.1989497552897,1320.6448065149584,780.099973112795,874.9391227998082,943.943791861935,969.2389422797684,775.937064138912,900.4518671274272,1051.0121443008386,1176.7078859458577,807.790068975169,988.770303162107,1241.7586923889094,1556.5417924172837
G05,10002070,宜蘭縣,員山鄉,Yuanshan Township,G,10002,POINT (121.66122593325925 24.74208231225914),121.66122593325925,24.74208231225914,366.88935240156866,495.88736260544493,528.8981692155955,525.3681749292763,491.83015646383876,484.7643644452685,556.6642678059135,581.8453495914167,570.5893460917998,486.6208423001532,592.9099233357459,686.7477372104712,758.0408898939719,481.9774844777634,619.4179109926008,770.6315595066769,984.5259667206242,485.2331642722657,573.6427498037247,634.4939809949725,653.8663741914395,491.61601955998,597.180246295094,729.7585925803044,850.2465457108547,516.8750744236905,675.2896224280396,905.2944043657711,1202.3819714151882
G08,10002080,宜蘭縣,冬山鄉,Dongshan Township,G,10002,POINT (121.76026677381905 24.642240986122253),121.76026677381904,24.642240986122253,563.1767409358748,710.5181059429407,752.6249609934906,742.2973438774852,701.56203987007,696.4411578230656,780.904823688998,803.213413589119,796.7455067869121,701.5189081643642,827.8385245674292,916.5041774133857,1002.0904297696388,692.0877024752822,855.9727809307207,1018.6614364680419,1236.7893564563517,708.0505534048405,802.6790559772134,867.4262367590716,893.4974533827808,704.4364811757404,822.3422809474894,972.7246431340618,1096.7408480861147,735.6486379203503,910.0729114873969,1165.0683110650884,1469.7008703985064
