Data_Source,Category,Energy_Section,EEUI,LEUI,AEUI_N_CONTINUE,AEUI_C_CONTINUE,AEUI_S_CONTINUE,AEUI_Mean_CONTINUE,AEUI_N_INTERVAL,AEUI_C_INTERVAL,AEUI_S_INTERVAL,AEUI_Mean_INTERVAL,EUI_Mean,TotalEUI
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A1. 小型護理或長照機構,10.03,21.11,53.66,59.7,68.04,60.47,36.99,44.9,50.43,44.11,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A2. 小型日照機構、幼兒園,16.76,26.51,36.57,42.5,49.44,42.84,26.08,32.15,35.87,31.37,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A3. 值班宿舍或招待所,12.27,49.96,,,,,37.62,45.85,50.87,44.78,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A4. 學生宿舍（有寒暑假之學校住宿）,12.41,40.1,,,,,47.1,68.6,80.1,65.27,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A5. 出租宿舍或民宿,5.6,13.98,,,,,37.86,41.2,53.59,44.22,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B1. 企業商辦大樓企業商辦大樓（五都主要商圈，中央空調、大銀行或大國際品牌企業進駐、大廳有大訪客休息區）,39.94,38.51,64.72,70.01,79.96,71.56,49.66,53.46,69.76,57.63,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B2. 企業商辦大樓專用大廳或專用走廊休息區等次空間,1.65,21.03,19.05,22.5,23.9,21.82,14.42,16.84,20.72,17.33,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B3. 一般辦公大樓（一般商辦、政府辦公、分租型辦公）,16.93,31.61,46.29,52.85,56.55,51.9,34.27,38.43,48.1,40.27,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B4. 一般辦公大樓專用大廳或專用走廊休息區等次空間,1.83,24,26.36,28.38,31.37,28.7,20.42,22.04,27.63,23.36,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C1. 國家圖書館或六都總圖書館之書庫／閱覽區,17.31,36.57,47.09,50.2,55.4,50.9,34.36,36.99,47.54,39.63,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C2. 國家圖書館或六都總圖書館之大廳（含動態展區與休息廳）,2.82,32.61,29.29,31.25,33.77,31.44,21.45,23.31,29.31,24.69,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C3. 國家圖書館或六都總圖書館或大學總圖書館之行政辦公區,24.92,27.49,35.18,36.75,41.96,37.96,26.56,27.99,36.39,30.31,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C4. C1 以外圖書館之書庫／閱覽區,3.24,36.57,,,,,24.73,27.32,34.25,28.77,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C5. C1 以外圖書館之大廳（含動態展區與休息廳）,2.82,32.61,,,,,18.62,20.39,25.22,21.41,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C6. C1 以外圖書館之行政辦公區,24.92,27.49,,,,,20.63,21.98,27.93,23.51,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C7. 大學總圖書館之書庫／閱覽區,16.89,42.25,48.36,52.84,57.94,53.05,34.56,38.46,50.06,41.03,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C8. 大學總圖書館之大廳（含動態展區與休息廳）,2.75,37.67,30.67,33.03,35.79,33.16,21.97,24.35,31.23,25.85,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D1. A 級全天空調展覽區（低溼控制）,38.1,21.58,154.86,152.22,162.6,156.56,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D2. B 級全天空調展覽區,13.23,21.97,96.24,98.11,105.05,99.8,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D3. B 級營業時間內空調展覽區,13.23,21.97,64.53,69.53,71.55,68.54,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D4. 展覽類行政辦公區,16.38,30.3,53.94,54.93,60.02,56.3,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D5. 大廳,0,23.84,42.84,43.94,49.13,45.3,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E1. 出租展覽區,13.56,35.71,61.85,64.27,68.81,64.98,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E2. 行政辦公區,17.39,24.01,43.53,50.85,52.55,48.98,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E3. 大廳,1.73,36.85,53.24,57.81,59.91,56.99,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F1. 200 人以上體育館、大會議廳與其專屬大廳,3.1,13.84,47.82,50.68,54.15,50.88,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F2. 少於 200 人之體育館、中小型會議廳或藝文教室與其專屬門廳走廊,3.27,16.28,38.79,39.12,44.19,40.7,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F3. 體育館、演講中心行政辦公區,17.39,24.01,43.53,50.85,52.55,48.98,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F4. 大廳,1.73,36.85,53.24,57.81,59.91,56.99,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G1. 國家級演藝廳與其專屬門廳走廊,4.57,27.93,64.79,63.69,68.74,65.74,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G2. 一般級別演藝廳與其專屬門廳走廊,3.48,16.95,53.6,59.58,64.51,59.23,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H1. 飯店客房區,10.91,25.93,74.17,77.9,83.97,78.68,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H2. 飯店客房區（冬季供暖房型）,10.91,25.93,80.46,80.89,84.75,82.03,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H3. 飯店 8 小時一般行政辦公區,12.27,32.83,35.88,36.04,38.94,36.95,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H4. 飯店餐飲宴會部行政辦公區,52.81,88.39,231.74,243.03,252.19,242.32,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H5. 客房設施部維管辦公區,26.09,112.06,155.64,151.83,169.28,158.92,,,,,,
