Data_Source,Category,Energy_Section,EEUI,LEUI,AEUI_N_CONTINUE,AEUI_C_CONTINUE,AEUI_S_CONTINUE,AEUI_Mean_CONTINUE,AEUI_N_INTERVAL,AEUI_C_INTERVAL,AEUI_S_INTERVAL,AEUI_Mean_INTERVAL,AEUI_Mean,TotalEUI
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A1. 小型護理或長照機構,10.03,39.86,75.57,84.93,96.91,85.8,52.89,64.16,71.8,62.95,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A2. 小型日照機構、幼兒園,16.76,49.54,53.17,61.07,69.56,61.27,35.9,44.25,48.56,42.9,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A3. 值班宿舍或招待所,12.27,83.17,,,,,92.53,112.35,126.67,110.52,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A4. 學生宿舍（有寒暑假之學校住宿）,12.41,66.9,,,,,62.5,91.2,106.5,86.73,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A5. 出租宿舍或民宿,5.6,29.67,,,,,52.84,58.75,75.88,62.49,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B1. 企業商辦大樓企業商辦大樓（五都主要商圈，中央空調、大銀行或大國際品牌企業進駐、大廳有大訪客休息區）,39.94,65.28,90.74,99.38,112.79,100.97,69.8,75.65,98.12,81.19,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B2. 企業商辦大樓專用大廳或專用走廊休息區等次空間,1.65,42.06,29.36,35.19,36.44,33.66,22.18,26.17,31.41,26.59,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B3. 一般辦公大樓（一般商辦、政府辦公、分租型辦公）,16.93,52.77,68.33,79.07,83.09,76.83,50.67,57.17,71.29,59.71,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B4. 一般辦公大樓專用大廳或專用走廊休息區等次空間,1.83,40.15,40.79,44.59,48.43,44.6,31.3,34.36,42.93,36.2,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C1. 國家圖書館或六都總圖書館之書庫／閱覽區,17.31,61.88,69.28,75.47,84.55,76.43,51,55.51,71.48,59.33,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C2. 國家圖書館或六都總圖書館之大廳（含動態展區與休息廳）,2.82,54.48,43,46.48,50.47,46.65,31.88,34.75,43.74,36.79,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C3. 國家圖書館或六都總圖書館或大學總圖書館之行政辦公區,24.92,45.69,49.5,52.5,60.15,54.05,37.97,40.1,52.25,43.44,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C4. C1 以外圖書館之書庫／閱覽區,3.24,61.88,,,,,38.44,43.1,53.69,45.08,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C5. C1 以外圖書館之大廳（含動態展區與休息廳）,2.82,54.48,,,,,28.34,31.34,38.64,32.77,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C6. C1 以外圖書館之行政辦公區,24.92,45.69,,,,,30.13,32.75,41.19,34.69,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C7. 大學總圖書館之書庫／閱覽區,16.89,71.15,72.28,79.65,87.76,79.9,52.04,57.91,75.51,61.82,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C8. 大學總圖書館之大廳（含動態展區與休息廳）,2.75,62.93,45.27,49.06,53.45,49.26,32.83,36.29,46.5,38.54,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D1. A 級全天空調展覽區（低溼控制）,38.1,30.13,182.66,181.86,194.66,186.39,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D2. B 級全天空調展覽區,13.23,36.67,116.7,118.8,127.99,121.16,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D3. B 級營業時間內空調展覽區,13.23,30.67,79.51,82.97,88.2,83.56,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D4. 展覽類行政辦公區,16.38,50.36,66.92,68.56,74.67,70.05,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D5. 大廳,0,39.83,52.89,54.58,61.07,56.18,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E1. 出租展覽區,13.56,59.4,78.39,81.93,87.88,82.73,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E2. 行政辦公區,17.39,40.12,56.41,66.04,68.46,63.64,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E3. 大廳,1.73,61.3,67.54,73.85,77.27,72.89,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F1. 200 人以上體育館、大會議廳與其專屬大廳,3.1,23.03,57.82,61.68,66.34,61.95,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F2. 少於 200 人之體育館、中小型會議廳或藝文教室與其專屬門廳走廊,3.27,27.09,48.78,49.5,56,51.43,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F3. 體育館、演講中心行政辦公區,17.39,40.12,56.41,66.04,68.46,63.64,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F4. 大廳,1.73,61.3,67.54,73.85,77.27,72.89,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G1. 國家級演藝廳與其專屬門廳走廊,4.57,46.46,71.88,80.95,88.11,80.31,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G2. 一般級別演藝廳與其專屬門廳走廊,3.48,28.14,64.9,73.17,79.71,72.59,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H1. 飯店客房區,10.91,43.21,96.67,101.34,110.21,102.74,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H2. 飯店客房區（冬季供暖房型）,10.91,43.21,102.96,104.33,110.99,106.09,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H3. 飯店 8 小時一般行政辦公區,12.27,54.56,48.89,49.8,53.82,50.84,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H4. 飯店餐飲宴會部行政辦公區,52.81,147.68,300.32,320.1,333.27,317.9,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H5. 客房設施部維管辦公區,26.09,187.23,226.11,222.72,246.19,231.67,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H6. 飯店櫃台接待大廳休息區,39.91,147.12,231.89,250.69,268.04,250.21,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H7. 員工休息、盥洗室,8.77,35.1,86.49,85.3,95.66,89.15,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H8. 飯店附設泳池,5.2,80.95,185.8,188.51,204.09,192.8,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H9. 飯店附設運動中心,10.25,48.25,58.37,60.27,62.96,60.53,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H10. 宴會廳（主要以宴客為主，不含專用廚房，以 I2 餐之 70% 計）,15.56,97.29,102.21,104.57,112.25,106.34,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I1. 供一餐餐廳用餐區（不含專用廚房）,8.63,74.66,105.95,108.4,115.99,110.11,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I2. 供午晚兩餐餐廳用餐區（不含專用廚房）,15.56,138.98,146.02,149.39,140.36,145.26,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I3. 供三餐餐廳用餐區（不含專用廚房）,27.62,181.66,185.8,195.47,209.51,196.93,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I4. 輕食類或咖啡廳用餐區（不含吧檯與廚房區）,21.59,160.32,165.91,172.43,184.94,174.43,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I5. 24 hr 餐廳用餐區（不含專用廚房）,39.71,153.32,170.4,191.68,232.04,198.04,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I6. 火鍋、燒烤店（含廚房）,336.95,65.72,312.48,335.2,388.61,345.43,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,I. 餐飲類（專用廚房、吧檯區以外的餐廳區）,I7. 百貨商場美食街（不含專用廚房）,22.31,170,156.89,166.31,185.81,169.67,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J1. 12 小時一般商店、百貨專櫃、名店街,55,182.6,147,158.4,176.8,160.73,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J2. 12 小時高照明商場（精品專櫃區）,73.9,253.7,181.8,194.4,217.3,197.83,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J3. 24 hr 零售商店,87.6,350.5,545,580.9,641,588.97,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J4. 24 hr 高照明商場、便利商店（沿街型）,816.7,309.4,459.9,496.2,567.2,507.77,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J5. 15 小時超市、量販店一般貨品區,59.7,339.3,430.4,469.1,508.8,469.43,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J6. 超市、量販店冰櫃式冷凍冷藏生鮮區,963.3,87.7,0,0,0,0,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J7. 電影院、影城,17.3,73,219.2,238.1,272.2,243.17,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J8. 12 小時小鋼珠店、電子遊樂場,467.3,273.8,379.3,402.1,447.7,409.7,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J9. 24 小時 KTV,52.4,150,273.8,379.3,402.1,351.73,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,J. 商店娛樂類,J10. 24 小時網咖,251,175.2,150,308.3,323.7,260.67,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K1. 醫院病房區,13.2,54.6,73.98,78.73,86.99,79.9,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K2. 門診醫療空間或 G3 類之小醫院、私人診所,51.57,65.26,156.97,163.75,184.42,168.38,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K3. 24 小時加護病房區、急診部,235.76,123.41,307.58,308.36,330.13,315.36,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K4. 24 小時手術房區、檢驗部,180.73,162.66,395.52,397.86,434.22,409.2,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K5. 醫院大廳含掛號業務大廳,0,38.46,184.04,194.24,230.45,202.91,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K6. 醫院一般行政辦公區與設施維管區域,36.74,34.13,54.83,58.69,66.42,59.98,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K7. 腫瘤放射重設備,1088.16,97.15,646.67,644.43,662.63,651.24,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K8. 護理或長照機構,10.03,39.86,75.57,84.93,96.91,85.8,52.89,64.16,71.8,62.95,,
2022 綠建築評估手冊 - 建築能效評估系統,K. 醫院（附屬餐飲、商店參見其他分類）,K9. 日照機構、幼兒園,16.76,49.54,53.17,61.07,69.56,61.27,35.9,44.25,48.56,42.9,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L1. 行政、辦公、設施維護管理區（使用率 100%）,13.47,67.66,79.78,84.44,89.27,84.5,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L2. 高樓層球類運動區（11 m 高，使用率 75%）,8.56,92.3,99.6,105.88,107.18,104.22,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L3. 體能調適運動區（健身房、使用率 100%）,26.08,92.3,112.97,114.53,121.05,116.18,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L4-1. 多功能教室（社區教室、棋藝閱覽室、兒童遊戲室、桌球室、撞球室，使用率 62.5%）,9.82,53.14,71.47,75.76,80.35,75.86,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L4-2. 多功能教室（韻律教室、飛輪教室、舞蹈教室、壁球室，使用率 75%）,16.38,87.69,211.14,208.02,234.79,217.98,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L5. 室內溜冰區（使用率 100%）,16.76,99.99,650.43,650.43,650.43,650.43,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L6-1. 全年溫水空調型游泳池,11.82,80.95,87.85,91.25,160.92,113.34,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L6-2. 季節溫水空調型游泳池,11.82,80.95,,,,,81.11,84.67,90.3,85.36,,
2022 綠建築評估手冊 - 建築能效評估系統,L. 運動休閒類,L6-3. 通風無空調季節溫水游泳池,49.96,80.95,,,,,26.99,30.39,31.74,29.71,,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB1. 國小教室（辦公區歸 B3）,6,15,,,,,,,,,16,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB2. 國中教室（辦公區歸 B3）,8,21,,,,,,,,,21,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB3. 高中職、大專教室、教師研究室（辦公區歸 B3）,9,22,,,,,,,,,23,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB4. 研究機構實驗室,29,52,,,,,,,,,65,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB5. 室內體育館（A-1）,16,33,,,,,,,,,119,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB6. 車站、轉運站、航站業務大廳（A-2）,19,94,,,,,,,,,207,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB7. 24 小時作業無空調一般工廠製程區（辦公區歸 B3）,95,131,,,,,,,,,0,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB8. 24 小時作業空調型一般工廠製程區（辦公區歸 B3）,95,131,,,,,,,,,259,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB9. 24 小時作業空調型精密或潔淨製造製程區（辦公區歸 B3）,95,167,,,,,,,,,271,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB10. 10 小時作業無空調一般工廠製程區（辦公區歸 B3）,31,47,,,,,,,,,0,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB11. 10 小時作業空調型一般工廠製程區（辦公區歸 B3）,31,47,,,,,,,,,76,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB12. 10 小時作業空調型精密或潔淨製造製程區（辦公區歸 B3）,31,58,,,,,,,,,78,
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB13. 室內停車場,,,,,,,,,,,,30
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB14. 無空調通風型專用倉儲,,,,,,,,,,,,25
2022 綠建築評估手冊 - 建築能效評估系統,非 BERS 適用分區而供其他綠建築手冊引用之暫行 EUI 基準（無氣候分區、單一中位值基準）,NB15. 空調型專用倉儲,,,,,,,,,,,,80
2023 綠建築評估手冊 - 住宿類,R. 住宅單元,R1. 透天獨棟住宅,0,26.84,,,,,14.18,16.82,19.84,16.95,,
2023 綠建築評估手冊 - 住宿類,R. 住宅單元,R2. 透天連棟住宅,0,26.84,,,,,10.58,12.55,14.81,12.65,,
2023 綠建築評估手冊 - 住宿類,R. 住宅單元,R3. 非透天集合住宅住戶專用分區,0,23.04,,,,,24.38,29.7,30.26,28.11,,
2023 綠建築評估手冊 - 住宿類,P. 共用空間（透天住宅類免評估）,P1. 非透天集合住宅大廳分區（大廳空間）,0,104.89,,,,,24.49,28.03,32.67,28.4,,
2023 綠建築評估手冊 - 住宿類,P. 共用空間（透天住宅類免評估）,P2. 非透天集合住宅梯廳分區（梯廳與住戶連通走廊）,0,18,,,,,0,0,0,0,,
2023 綠建築評估手冊 - 住宿類,P. 共用空間（透天住宅類免評估）,P3. 非透天集合住宅之一般共用分區（健身房、閱覽室、兒童遊戲室、KTV、會議室、視聽室、社區辦公室、活動中心等）,0,61.82,,,,,32.69,38.98,46.4,39.36,,
