Data_Source,Category,Energy_Section,EEUI,LEUI,AEUI_N_CONTINUE,AEUI_C_CONTINUE,AEUI_S_CONTINUE,AEUI_Mean_CONTINUE,AEUI_N_INTERVAL,AEUI_C_INTERVAL,AEUI_S_INTERVAL,AEUI_Mean_INTERVAL,EUI_Mean,TotalEUI
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A1. 小型護理或長照機構,10.03,15.92,43.49,48.22,54.65,48.79,29.57,35.94,40.3,35.27,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A2. 小型日照機構、幼兒園,16.76,19.91,29.23,33.87,39.5,34.2,20.92,25.74,28.86,25.17,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A3. 值班宿舍或招待所,12.27,24.95,,,,,31.57,38.54,42.38,37.5,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A4. 學生宿舍（有寒暑假之學校住宿）,12.41,20.1,,,,,36.8,53.3,61.8,50.63,,
2022 綠建築評估手冊 - 建築能效評估系統,A. 住宿類,A5. 出租宿舍或民宿,5.6,6.59,,,,,24.03,26.04,33.91,27.99,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B1. 企業商辦大樓企業商辦大樓（五都主要商圈，中央空調、大銀行或大國際品牌企業進駐、大廳有大訪客休息區）,39.94,26,46.7,49.09,55.96,50.58,35.26,37.25,48.83,40.45,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B2. 企業商辦大樓專用大廳或專用走廊休息區等次空間,1.65,16.77,14.67,16.07,17.67,16.14,10.78,11.91,15.27,12.65,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B3. 一般辦公大樓（一般商辦、政府辦公、分租型辦公）,16.93,15.86,30.66,34.22,36.57,33.82,22.36,24.78,31.19,26.11,,
2022 綠建築評估手冊 - 建築能效評估系統,B. 行政辦公大樓,B4. 一般辦公大樓專用大廳或專用走廊休息區等次空間,1.83,12.07,17.06,17.71,19.47,18.08,12.77,13.67,17.2,14.55,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C1. 國家圖書館或六都總圖書館之書庫／閱覽區,17.31,18.44,37.95,39.96,44.49,40.8,27.64,29.46,38.26,31.79,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C2. 國家圖書館或六都總圖書館之大廳（含動態展區與休息廳）,2.82,16.37,23.52,24.58,26.7,24.93,17.1,18.35,23.24,19.56,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C3. 國家圖書館或六都總圖書館或大學總圖書館之行政辦公區,24.92,13.71,29.11,29.86,34.15,31.04,21.8,22.69,29.6,24.7,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C4. C1 以外圖書館之書庫／閱覽區,3.24,18.44,,,,,19.43,21.23,26.95,22.54,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C5. C1 以外圖書館之大廳（含動態展區與休息廳）,2.82,16.37,,,,,14.71,15.97,19.88,16.85,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C6. C1 以外圖書館之行政辦公區,24.92,13.71,,,,,16.37,17.32,22.04,18.58,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C7. 大學總圖書館之書庫／閱覽區,16.89,21.3,38.95,41.72,46.19,42.29,27.76,30.43,39.9,32.7,,
2022 綠建築評估手冊 - 建築能效評估系統,C. 圖書館（專用演講、展覽另計）,C8. 大學總圖書館之大廳（含動態展區與休息廳）,2.75,18.91,24.5,25.82,28.22,26.18,17.45,19.07,24.66,20.39,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D1. A 級全天空調展覽區（低溼控制）,38.1,17.31,138.98,135.42,143.73,139.38,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D2. B 級全天空調展覽區,13.23,17.63,84.97,86.68,92.39,88.01,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D3. B 級營業時間內空調展覽區,13.23,17.63,56.38,58.85,62.42,59.22,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D4. 展覽類行政辦公區,16.38,15.11,47.15,47.78,52.36,49.1,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,D. 展覽類（博物館、美術館、藝文中心之展覽區，專用演講、演藝另計）,D5. 大廳,0,11.97,37.64,38.41,42.84,39.63,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E1. 出租展覽區,13.56,17.83,51.47,52.8,56.05,53.44,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E2. 行政辦公區,17.39,12.05,33.67,39.22,40.34,37.74,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,E. 文化中心、生活美學館（演藝廳、演講廳參見 F、G）,E3. 大廳,1.73,18.41,42.83,46.15,47.21,45.4,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F1. 200 人以上體育館、大會議廳與其專屬大廳,3.1,6.9,39.81,41.85,44.17,41.94,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F2. 少於 200 人之體育館、中小型會議廳或藝文教室與其專屬門廳走廊,3.27,8.12,31,31.08,34.92,32.33,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F3. 體育館、演講中心行政辦公區,17.39,12.05,33.67,39.22,40.34,37.74,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,F. 出租專用體育館、會議廳或藝文教室（其他行政辦公區內會議室歸該分區處理）,F4. 大廳,1.73,18.41,42.83,46.15,47.21,45.4,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G1. 國家級演藝廳與其專屬門廳走廊,4.57,13.91,43.97,47.95,51.26,47.73,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,G. 有聲光控制舞台之演藝廳,G2. 一般級別演藝廳與其專屬門廳走廊,3.48,8.44,42.29,46.22,48.91,45.81,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H1. 飯店客房區,10.91,12.91,57.3,61.62,66.29,61.74,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H2. 飯店客房區（冬季供暖房型）,10.91,12.91,63.59,64.61,67.07,65.09,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H3. 飯店 8 小時一般行政辦公區,12.27,16.3,26.39,27.04,29.16,27.53,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H4. 飯店餐飲宴會部行政辦公區,52.81,44.46,182.53,197.45,201.16,193.71,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H5. 客房設施部維管辦公區,26.09,56.37,104.27,105.66,119.21,109.71,,,,,,
2022 綠建築評估手冊 - 建築能效評估系統,H. 飯店（餐廳、商店、休閒區見其他分類）,H6. 飯店櫃台接待大廳休息區,39.91,43.9,127.53,137.63,145.93,137.03,,,,,,
